Lobby.AccountWelcome,"Welcome, {0}"
Lobby.QuitGameLabel,Quit Game
Lobby.SignOutLabel,Sign Out
Lobby.PortraitWebTitle, Load from Web
Lobby.PortraitWebSubtitle, Enter a valid URL
Lobby.Leaderboard, Leader board
Lobby.ProfilesSearchTitle, Player Search
Lobby.ProfilesSearchSubTitle, Input the player's name
Lobby.HasConnected,{0} has connected
Lobby.HasDisconnected,{0} has disconnected
Lobby.SignUpFailed,Signup failed
Lobby.NameInputTitle,Username
Lobby.NameInputSubTitle,Input your alias.
Lobby.OfflineMode,Play Offline
Lobby.LoadFailed,Connection Error
Lobby.AccountLoadFailed,Error Signing In
Lobby.ProfileLoadFailed,Error Loading Profile
Lobby.LoadFailedSub,There was an error connecting to the database.
Lobby.Retry,Retry
Lobby.Cancel,Cancel
Lobby.Accept,Accept
Lobby.Reject,Reject
Lobby.NameInvalid,Username is invalid
Lobby.SoundLabel,Sound Volume
Lobby.MusicLabel,Music Volume
Lobby.UIVolumeLabel,UI Volume
Lobby.UpdateTitle,Link / Update Account
Lobby.UpdateLabel,Update
Lobby.CensorLabel,Censor
Lobby.CensorTitle,Filter Bad Language
Lobby.InNetworkError,Already in a network
Lobby.ConnectionFailure,Connection Failure
Lobby.MasterServerFailure,MasterServer Failure
Lobby.PortInUse,Network port is in use.
Lobby.HostFull,Host is full.
Lobby.ConnectionLostText,Connection Lost
Lobby.ConnectionLostExplaination,The host has disconnected the game
Lobby.TimeoutError,Timeout error. Try again.
Lobby.CanNotHost,Can not host.
Lobby.NoGamesFound,Could not find a game to join
Lobby.RegistrationFailedGameName,Registration Failed : Invalid GameName
Lobby.RegistrationFailedGameType,Registration Failed : Invalid GameType
Lobby.RegistrationFailedNoServer,Registration Failed : No Server
Lobby.Connected,Connected to Network
Lobby.Disconnected,Disconnected
Lobby.Offline,Offline Mode.  Could not connect.
Lobby.Unauthenticated,Not signed in. Access denied.
Lobby.UpdateSuccess,Account updated. Thank you !
Lobby.ServerFull,Server Is Full. Try again in a little bit.
Lobby.NetworkFull,Network Is Full. Try again in a little bit.
Lobby.CreateGameFailed,Failed to create game.
Lobby.JoinGameFailed,Failed to join game.
Lobby.SecurityError,Security Violation. Access denied.
Lobby.InvalidRegion,Invalid Region
Lobby.InvalidAuthentication,Invalid Authentication. Access denied.
Lobby.InternalError,Internal Error
