Lobby.AccountWelcome,"Bienvenue, {0}"
Lobby.QuitGameLabel,Quitter Le Jeu
Lobby.SignOutLabel,Se Déconnecter
Lobby.PortraitWebTitle, Charger à partir du Web
Lobby.PortraitWebSubtitle, Saisir une URL valide
Lobby.Leaderboard, Leader du conseil d'administration
Lobby.ProfilesSearchTitle, Recherche De Joueur
Lobby.ProfilesSearchSubTitle, D'entrée le nom du joueur
Lobby.HasConnected,{0} est connecté
Lobby.HasDisconnected,{0} a déconnecté
Lobby.SignUpFailed,L'inscription a échoué
Lobby.NameInputTitle,Nom d'utilisateur
Lobby.NameInputSubTitle,D'entrée de votre pseudo.
Lobby.OfflineMode,Jouer En Mode Hors Connexion
Lobby.LoadFailed,Erreur De Connexion
Lobby.AccountLoadFailed,Erreur Dans La Signature
Lobby.ProfileLoadFailed,Erreur Lors Du Chargement Du Profil
Lobby.LoadFailedSub,Il y a une erreur de connexion à la base de données.
Lobby.Retry,Nouvelle tentative
Lobby.Cancel,Annuler
Lobby.Accept,Accepter
Lobby.Reject,Rejeter
Lobby.NameInvalid,Nom d'utilisateur invalide
Lobby.SoundLabel,Volume Sonore
Lobby.MusicLabel,Le Volume De La Musique
Lobby.UIVolumeLabel,L'INTERFACE utilisateur de Volume
Lobby.UpdateTitle,Lien / Mise À Jour Compte
Lobby.UpdateLabel,Mise à jour
Lobby.CensorLabel,Censure
Lobby.CensorTitle,Filtre Les Mauvaises Langues
Lobby.InNetworkError,Déjà dans un réseau
Lobby.ConnectionFailure,Échec De La Connexion
Lobby.MasterServerFailure,Serveur Maître De L'Échec
Lobby.PortInUse,Port de réseau est en cours d'utilisation.
Lobby.HostFull,L'hôte est plein.
Lobby.ConnectionLostText,Perte De Connexion
Lobby.ConnectionLostExplaination,L'hôte est déconnecté le jeu
Lobby.TimeoutError,Erreur de dépassement de délai. Essayez à nouveau.
Lobby.CanNotHost,Ne peut pas l'hôte.
Lobby.NoGamesFound,Impossible de trouver un jeu à se joindre à
Lobby.RegistrationFailedGameName,Inscription Registration Failed : Invalid Nom_jeu
Lobby.RegistrationFailedGameType,Inscription Registration Failed : Invalid Mode De Jeu
Lobby.RegistrationFailedNoServer,L'Enregistrement A Échoué : Pas De Serveur
Lobby.Connected,Connectés à un Réseau
Lobby.Disconnected,Déconnecté
Lobby.Offline,Mode Hors Ligne. Impossible de se connecter.
Lobby.Unauthenticated,Pas signé. Accès refusé.
Lobby.UpdateSuccess,Compte mis à jour. Merci à vous !
Lobby.ServerFull,Le Serveur Est Plein. Essayez de nouveau un peu.
Lobby.NetworkFull,Le Réseau Est Complet. Essayez de nouveau un peu.
Lobby.CreateGameFailed,Échec de la création de jeu.
Lobby.JoinGameFailed,Pas réussi à rejoindre la partie.
Lobby.SecurityError,Violation De La Sécurité. Accès refusé.
Lobby.InvalidRegion,Non Valide Région
Lobby.InvalidAuthentication,Authentification Non Valide. Accès refusé.
Lobby.InternalError,Erreur Interne
