LobbyViews.Confirm,Confirmer
LobbyViews.Reject,Rejeter
LobbyViews.WelcomeTitle,Bienvenue
LobbyViews.SignIn,Connecter
LobbyViews.SignUp,Inscrivez -
LobbyViews.Recover,Récupérer Mon Compte
LobbyViews.Busy,Chargement...
LobbyViews.Username,Nom d'utilisateur
LobbyViews.Email,E-mail
LobbyViews.Password,Mot de passe
LobbyViews.Token,Jeton
LobbyViews.Update,Mise À Jour Compte
LobbyViews.Submit,Soumettre
LobbyViews.Back,Retour
LobbyViews.Cancel,Annuler
LobbyViews.GoGetToken,A la validation d'un jeton a été envoyé par courriel à vous.
LobbyViews.SkipSignup,Passez Votre Inscription
LobbyViews.PortraitTitle,Choisissez Votre Portrait
LobbyViews.LoadFromWeb,Charger À Partir Du Web
LobbyViews.Gravatar,Gravatar
LobbyViews.Options,Options
LobbyViews.Levels,Sélection Du Niveau De
LobbyViews.RandomLevel,Niveau Aléatoire
LobbyViews.Search,Recherche
LobbyViews.Leaderboard,Classement
LobbyViews.Multiplayer,Jouer En Ligne
LobbyViews.StartHost,Début D'Accueil
LobbyViews.Disconnect,Déconnecter
LobbyViews.FindGame,Trouver Des Jeux
LobbyViews.Self,Auto
LobbyViews.Host,Accueil
LobbyViews.NoGames,Pas De Jeux. Aller créez-en une !
LobbyViews.Offline,Mode Hors Ligne. Pas de données disponibles.
LobbyViews.Continue,Continuer
LobbyViews.RestartLevel,RestartLevel
LobbyViews.QuitLevel,QuitLevel
LobbyViews.ConnectionLost,Perte De Connexion
LobbyViews.ConnectionLostInfo,Connexion à l'hôte du jeu a été perdu.
LobbyViews.Migrating,La migration vers de nouveaux Hôtes...
LobbyViews.ReturnToLobby,Retour à la Hall d'
