Lobby.AccountWelcome,"Willkommen, {0}"
Lobby.QuitGameLabel,Spiel Beenden
Lobby.SignOutLabel,Abmelden
Lobby.PortraitWebTitle, Load from Web
Lobby.PortraitWebSubtitle, Geben Sie eine gültige URL
Lobby.Leaderboard, Leader-board
Lobby.ProfilesSearchTitle, Spieler Suche
Lobby.ProfilesSearchSubTitle, Eingabe der name des Spielers
Lobby.HasConnected,{0} hat verbunden
Lobby.HasDisconnected,{0} wurde getrennt.
Lobby.SignUpFailed,Anmeldung fehlgeschlagen
Lobby.NameInputTitle,Benutzername
Lobby.NameInputSubTitle,Eingabe Ihres Pseudonyms gestattet.
Lobby.OfflineMode,Offline Spielen
Lobby.LoadFailed,Verbindungsfehler
Lobby.AccountLoadFailed,Fehler Anmeldung
Lobby.ProfileLoadFailed,Fehler Beim Laden Des Profils
Lobby.LoadFailedSub,Es wurde ein Fehler mit der Datenbank verbinden.
Lobby.Retry,Wiederholen
Lobby.Cancel,Abbrechen
Lobby.Accept,Akzeptieren
Lobby.Reject,Ablehnen
Lobby.NameInvalid,Benutzername ist ungültig
Lobby.SoundLabel,Lautstärke
Lobby.MusicLabel,Musik-Lautstärke
Lobby.UIVolumeLabel,UI-Volumen
Lobby.UpdateTitle,Link / Update-Account
Lobby.UpdateLabel,Update
Lobby.CensorLabel,Zensur
Lobby.CensorTitle,Filter Schlechte Sprache
Lobby.InNetworkError,Bereits in einem Netzwerk
Lobby.ConnectionFailure,Verbindung Fehlgeschlagen
Lobby.MasterServerFailure,MasterServer Versagen
Lobby.PortInUse,Netzwerk-Anschluss verwendet wird.
Lobby.HostFull,Host ist voll.
Lobby.ConnectionLostText,Verbindung Verloren
Lobby.ConnectionLostExplaination,Der host hat die Verbindung getrennt Spiel
Lobby.TimeoutError,Timeout-Fehler. Versuchen Sie es erneut.
Lobby.CanNotHost,Kann nicht hosten.
Lobby.NoGamesFound,Nicht finden konnte, ein Spiel beitreten
Lobby.RegistrationFailedGameName,Die Registrierung Ist Fehlgeschlagen : Ungültige GameName
Lobby.RegistrationFailedGameType,Die Registrierung Ist Fehlgeschlagen : Ungültige GameType
Lobby.RegistrationFailedNoServer,Die Registrierung Ist Fehlgeschlagen : Kein Server
Lobby.Connected,Mit dem Netzwerk verbunden sind
Lobby.Disconnected,Getrennt
Lobby.Offline,Offline-Modus. Es konnte keine Verbindung.
Lobby.Unauthenticated,Nicht angemeldet. Der Zugriff wurde verweigert.
Lobby.UpdateSuccess,Konto aktualisiert. Vielen Dank !
Lobby.ServerFull,Server Voll Ist. Versuchen Sie es erneut in ein wenig.
Lobby.NetworkFull,Netzwerk Voll Ist. Versuchen Sie es erneut in ein wenig.
Lobby.CreateGameFailed,Fehler beim erstellen des Spiels.
Lobby.JoinGameFailed,Fehler beim Spiel beitreten.
Lobby.SecurityError,Sicherheits-Verletzung. Der Zugriff wurde verweigert.
Lobby.InvalidRegion,Ungültige Region
Lobby.InvalidAuthentication,Ungültige Authentifizierung. Der Zugriff wurde verweigert.
Lobby.InternalError,Interner Fehler
