Lobby.AccountWelcome,"Καλώς ορίσατε, {0}"
Lobby.QuitGameLabel,Κλείστε Το Παιχνίδι
Lobby.SignOutLabel,Έξοδος
Lobby.PortraitWebTitle, Φορτίο από το Διαδίκτυο
Lobby.PortraitWebSubtitle, Εισάγετε μια έγκυρη διεύθυνση URL
Lobby.Leaderboard, Leader board
Lobby.ProfilesSearchTitle, Παίκτης Αναζήτηση
Lobby.ProfilesSearchSubTitle, Εισόδου του παίκτη όνομα
Lobby.HasConnected,{0} έχει συνδεθεί
Lobby.HasDisconnected,{0} έχει αποσυνδεθεί
Lobby.SignUpFailed,Εγγραφή απέτυχε
Lobby.NameInputTitle,Όνομα χρήστη
Lobby.NameInputSubTitle,Εισάγετε το ψευδώνυμο.
Lobby.OfflineMode,Αναπαραγωγή Εκτός Σύνδεσης
Lobby.LoadFailed,Σφάλμα Σύνδεσης
Lobby.AccountLoadFailed,Σφάλμα Υπογραφή Σε
Lobby.ProfileLoadFailed,Σφάλμα Κατά Τη Φόρτωση Προφίλ
Lobby.LoadFailedSub,Παρουσιάστηκε σφάλμα κατά τη σύνδεση με τη βάση δεδομένων.
Lobby.Retry,Επανάληψη
Lobby.Cancel,Ακύρωση
Lobby.Accept,Αποδοχή
Lobby.Reject,Απόρριψη
Lobby.NameInvalid,Το όνομα χρήστη δεν είναι έγκυρο
Lobby.SoundLabel,Ένταση Ήχου
Lobby.MusicLabel,Ένταση Της Μουσικής
Lobby.UIVolumeLabel,UI Όγκος
Lobby.UpdateTitle,Σύνδεση / Ενημέρωση Λογαριασμού
Lobby.UpdateLabel,Ενημερωμένη έκδοση
Lobby.CensorLabel,Λογοκρίνει
Lobby.CensorTitle,Φίλτρο Κακή Γλώσσα
Lobby.InNetworkError,Ήδη σε ένα δίκτυο
Lobby.ConnectionFailure,Αποτυχία Σύνδεσης
Lobby.MasterServerFailure,MasterServer Αποτυχία
Lobby.PortInUse,Θύρα δικτύου είναι σε χρήση.
Lobby.HostFull,Οικοδεσπότης είναι πλήρης.
Lobby.ConnectionLostText,Η Σύνδεση Χάθηκε
Lobby.ConnectionLostExplaination,Ο οικοδεσπότης έχει αποσυνδεθεί το παιχνίδι
Lobby.TimeoutError,Σφάλμα χρονικού ορίου. Δοκιμάστε ξανά.
Lobby.CanNotHost,Δεν μπορεί να το φιλοξενήσει.
Lobby.NoGamesFound,Δεν θα μπορούσε να βρει ένα παιχνίδι για να συμμετάσχετε
Lobby.RegistrationFailedGameName,Εγγραφή Απέτυχε : Μη Έγκυρη GameName
Lobby.RegistrationFailedGameType,Εγγραφή Απέτυχε : Μη Έγκυρη GameType
Lobby.RegistrationFailedNoServer,Εγγραφή Απέτυχε : Δεν Server
Lobby.Connected,Συνδεδεμένοι σε Δίκτυο
Lobby.Disconnected,Αποσυνδεθεί
Lobby.Offline,Κατάσταση Λειτουργίας Χωρίς Σύνδεση. Δεν θα μπορούσε να συνδεθείτε.
Lobby.Unauthenticated,Δεν έχουν υπογραφή. Δεν επιτρέπεται η πρόσβαση.
Lobby.UpdateSuccess,Λογαριασμό φορά. Σας ευχαριστώ !
Lobby.ServerFull,Server Είναι Πλήρης. Δοκιμάστε ξανά σε λίγο.
Lobby.NetworkFull,Το Δίκτυο Είναι Πλήρης. Δοκιμάστε ξανά σε λίγο.
Lobby.CreateGameFailed,Απέτυχε να δημιουργήσει το παιχνίδι.
Lobby.JoinGameFailed,Απέτυχε να συμμετάσχετε το παιχνίδι.
Lobby.SecurityError,Παραβίαση Ασφαλείας. Δεν επιτρέπεται η πρόσβαση.
Lobby.InvalidRegion,Μη Έγκυρη Περιοχή
Lobby.InvalidAuthentication,Μη Έγκυρης Ταυτότητας. Δεν επιτρέπεται η πρόσβαση.
Lobby.InternalError,Εσωτερικό Σφάλμα
