LobbyViews.Confirm,Επιβεβαίωση
LobbyViews.Reject,Απόρριψη
LobbyViews.WelcomeTitle,Καλώς ορίσατε
LobbyViews.SignIn,Συνδεθείτε
LobbyViews.SignUp,Εγγραφείτε
LobbyViews.Recover,Ανάκτηση Λογαριασμού
LobbyViews.Busy,Φόρτωση...
LobbyViews.Username,Όνομα χρήστη
LobbyViews.Email,Ηλεκτρονικού ταχυδρομείου
LobbyViews.Password,Κωδικός πρόσβασης
LobbyViews.Token,Διακριτικό
LobbyViews.Update,Ενημερωμένη Έκδοση Του Λογαριασμού
LobbyViews.Submit,Υποβάλλετε
LobbyViews.Back,Πίσω
LobbyViews.Cancel,Ακύρωση
LobbyViews.GoGetToken,Μια επικύρωση διακριτικό έχει αποσταλθεί.
LobbyViews.SkipSignup,Παράλειψη Εγγραφής
LobbyViews.PortraitTitle,Επιλέξτε Πορτρέτο Σας
LobbyViews.LoadFromWeb,Φορτίο Από Το Διαδίκτυο
LobbyViews.Gravatar,Gravatar
LobbyViews.Options,Επιλογές
LobbyViews.Levels,Επιλογή Επιπέδου
LobbyViews.RandomLevel,Τυχαία Επίπεδο
LobbyViews.Search,Αναζήτηση
LobbyViews.Leaderboard,Leaderboard
LobbyViews.Multiplayer,Αναπαραγωγή Online
LobbyViews.StartHost,Έναρξη Υποδοχής
LobbyViews.Disconnect,Αποσυνδέστε
LobbyViews.FindGame,Βρείτε Παιχνίδια
LobbyViews.Self,Αυτο
LobbyViews.Host,Υποδοχής
LobbyViews.NoGames,Δεν Παιχνίδια Που Βρέθηκαν. Πηγαίνετε Εκκίνηση !
LobbyViews.Offline,Κατάσταση Λειτουργίας Χωρίς Σύνδεση. Δεν υπάρχουν διαθέσιμα δεδομένα.
LobbyViews.Continue,Συνεχίστε
LobbyViews.RestartLevel,RestartLevel
LobbyViews.QuitLevel,QuitLevel
LobbyViews.ConnectionLost,Η Σύνδεση Χάθηκε
LobbyViews.ConnectionLostInfo,Σύνδεση με τον κεντρικό υπολογιστή παιχνιδιών χάθηκε.
LobbyViews.Migrating,Μεταναστεύουν στη νέα σειρά του...
LobbyViews.ReturnToLobby,Επιστροφή στο Λόμπι
