LobbyViews.Confirm,Conferma
LobbyViews.Reject,Rifiutare
LobbyViews.WelcomeTitle,Benvenuti
LobbyViews.SignIn,Accedi
LobbyViews.SignUp,Iscriviti
LobbyViews.Recover,Recuperare Account
LobbyViews.Busy,Caricamento in corso...
LobbyViews.Username,Nome utente
LobbyViews.Email,E-mail
LobbyViews.Password,La Password
LobbyViews.Token,Token
LobbyViews.Update,Aggiornamento Account
LobbyViews.Submit,Invia
LobbyViews.Back,Indietro
LobbyViews.Cancel,Annulla
LobbyViews.GoGetToken,Convalida di un token è stato inviato a voi.
LobbyViews.SkipSignup,Saltare Di Iscrizione
LobbyViews.PortraitTitle,Scegli Il Tuo Ritratto
LobbyViews.LoadFromWeb,Carico Dal Web
LobbyViews.Gravatar,Gravatar
LobbyViews.Options,Opzioni
LobbyViews.Levels,Selezione Del Livello
LobbyViews.RandomLevel,Casuale Livello
LobbyViews.Search,Ricerca
LobbyViews.Leaderboard,Classifica
LobbyViews.Multiplayer,Giocare Online
LobbyViews.StartHost,Start Host
LobbyViews.Disconnect,Scollegare
LobbyViews.FindGame,Trovare Giochi
LobbyViews.Self,Auto
LobbyViews.Host,Host
LobbyViews.NoGames,No Giochi. Vai a Start !
LobbyViews.Offline,Modalità Offline. Dati non disponibili.
LobbyViews.Continue,Continua
LobbyViews.RestartLevel,RestartLevel
LobbyViews.QuitLevel,QuitLevel
LobbyViews.ConnectionLost,Connessione Persa
LobbyViews.ConnectionLostInfo,Connessione all'host di gioco è stato perso.
LobbyViews.Migrating,La migrazione al nuovo Host...
LobbyViews.ReturnToLobby,Tornare alla Lobby
