Lobby.AccountWelcome,"Witamy, {0}"
Lobby.QuitGameLabel,Wyjdź Z Gry
Lobby.SignOutLabel,Wyjście
Lobby.PortraitWebTitle, Pobrać z sieci
Lobby.PortraitWebSubtitle, Wpisz poprawny adres URL
Lobby.Leaderboard, Lider Rady
Lobby.ProfilesSearchTitle, Znajdź Gracza
Lobby.ProfilesSearchSubTitle, Wprowadź nazwę gracza
Lobby.HasConnected,{0} została podłączona,
Lobby.HasDisconnected,{0} została wyłączona
Lobby.SignUpFailed,Signup failed
Lobby.NameInputTitle,Username
Lobby.NameInputSubTitle,Wprowadzania twój pseudonim.
Lobby.OfflineMode,Grać W Trybie Offline
Lobby.LoadFailed,Błąd Połączenia
Lobby.AccountLoadFailed,Błąd W Podpisie
Lobby.ProfileLoadFailed,Błąd Ładowania Profilu
Lobby.LoadFailedSub,Wystąpił błąd podczas łączenia z serwerem bazy danych.
Lobby.Retry,Powtórzyć
Lobby.Cancel,Anuluj
Lobby.Accept,Przyjmujemy
Lobby.Reject,Odrzucić
Lobby.NameInvalid,Username is invalid
Lobby.SoundLabel,Głośność Dźwięku
Lobby.MusicLabel,Głośność Muzyki
Lobby.UIVolumeLabel,UI-ilość
Lobby.UpdateTitle,Komunikacja / Aktualizacji Konta
Lobby.UpdateLabel,Aktualizacja
Lobby.CensorLabel,Cenzor
Lobby.CensorTitle,Filtr Zły Język
Lobby.InNetworkError,Już w sieci
Lobby.ConnectionFailure,Błąd Połączenia
Lobby.MasterServerFailure,MasterServer Niewydolności
Lobby.PortInUse,Port jest już używany.
Lobby.HostFull,Host-to jest kompletna.
Lobby.ConnectionLostText,Connection Lost
Lobby.ConnectionLostExplaination,Host zamknięty gry
Lobby.TimeoutError,Błąd czasu. Spróbuj jeszcze raz.
Lobby.CanNotHost,Możesz nie pisać.
Lobby.NoGamesFound,Nie mogłem znaleźć gry, aby dołączyć do
Lobby.RegistrationFailedGameName,Registration Failed : Invalid GameName
Lobby.RegistrationFailedGameType,Registration Failed : Invalid GameType
Lobby.RegistrationFailedNoServer,Registration Failed : No Server
Lobby.Connected,Jest podłączony do sieci
Lobby.Disconnected,Wyłączone
Lobby.Offline,Tryb Offline. Nie udało się połączyć.
Lobby.Unauthenticated,Nie weszli. Odmowa dostępu.
Lobby.UpdateSuccess,Konto aktualizowana. Dziękujemy !
Lobby.ServerFull,Serwer Jest Pełny. Spróbuj jeszcze raz trochę.
Lobby.NetworkFull,Sieć Jest Pełna. Spróbuj jeszcze raz trochę.
Lobby.CreateGameFailed,Nie udało się stworzyć grę.
Lobby.JoinGameFailed,Nie udało się dołączyć do gry.
Lobby.SecurityError,Naruszenie Bezpieczeństwa. Odmowa dostępu.
Lobby.InvalidRegion,Nieprawidłowy Powiat
Lobby.InvalidAuthentication,Invalid Authentication. Odmowa dostępu.
Lobby.InternalError,Błąd
