LobbyViews.Confirm,Confirmar
LobbyViews.Reject,Rejeitar
LobbyViews.WelcomeTitle,Bem-vindo
LobbyViews.SignIn,Login
LobbyViews.SignUp,Assinar
LobbyViews.Recover,Recuperar Conta
LobbyViews.Busy,A carregar...
LobbyViews.Username,Nome de usuário
LobbyViews.Email,E-mail
LobbyViews.Password,Palavra-passe
LobbyViews.Token,Token
LobbyViews.Update,Atualização De Conta
LobbyViews.Submit,Enviar
LobbyViews.Back,De volta
LobbyViews.Cancel,Cancelar
LobbyViews.GoGetToken,Um token de validação foi enviado a você.
LobbyViews.SkipSignup,Pular Inscrição
LobbyViews.PortraitTitle,Escolha O Seu Retrato
LobbyViews.LoadFromWeb,Load From Web
LobbyViews.Gravatar,Gravatar
LobbyViews.Options,Opções
LobbyViews.Levels,Seleção De Nível
LobbyViews.RandomLevel,Nível Aleatório
LobbyViews.Search,Pesquisa
LobbyViews.Leaderboard,Tabela de classificação
LobbyViews.Multiplayer,Jogar Online
LobbyViews.StartHost,Início De Host
LobbyViews.Disconnect,Desligue
LobbyViews.FindGame,Encontrar Jogos
LobbyViews.Self,Auto
LobbyViews.Host,Host
LobbyViews.NoGames,Os Jogos Encontrados. Vá em Iniciar um !
LobbyViews.Offline,O Modo Offline. Não há dados disponíveis.
LobbyViews.Continue,Continuar
LobbyViews.RestartLevel,RestartLevel
LobbyViews.QuitLevel,QuitLevel
LobbyViews.ConnectionLost,Ligação Perdida
LobbyViews.ConnectionLostInfo,Conexão com o host do jogo foi perdido.
LobbyViews.Migrating,A migração para o novo Host...
LobbyViews.ReturnToLobby,Voltar ao Lobby
