Lobby.AccountWelcome,"Добро пожаловать, {0}"
Lobby.QuitGameLabel,Выйти Из Игры
Lobby.SignOutLabel,Выход
Lobby.PortraitWebTitle, Загрузить из веб
Lobby.PortraitWebSubtitle, Введите действительный URL-адрес
Lobby.Leaderboard, Лидер Совета
Lobby.ProfilesSearchTitle, Поиск Игрока
Lobby.ProfilesSearchSubTitle, Ввод имени игрока
Lobby.HasConnected,{0} был подключен,
Lobby.HasDisconnected,{0} был отключен
Lobby.SignUpFailed,Signup failed
Lobby.NameInputTitle,Username
Lobby.NameInputSubTitle,Ввода ваш псевдоним.
Lobby.OfflineMode,Играть В Автономном Режиме
Lobby.LoadFailed,Ошибка Соединения
Lobby.AccountLoadFailed,Ошибка В Подписи
Lobby.ProfileLoadFailed,Ошибка Загрузки Профиля
Lobby.LoadFailedSub,Произошла ошибка при подключении к базе данных.
Lobby.Retry,Повторить
Lobby.Cancel,Отмена
Lobby.Accept,Принимаем
Lobby.Reject,Отклонить
Lobby.NameInvalid,Username is invalid
Lobby.SoundLabel,Громкость Звука
Lobby.MusicLabel,Громкость Музыки
Lobby.UIVolumeLabel,UI-объем
Lobby.UpdateTitle,Связь / Обновление Учетной Записи
Lobby.UpdateLabel,Обновление
Lobby.CensorLabel,Цензор
Lobby.CensorTitle,Фильтр Плохой Язык
Lobby.InNetworkError,Уже в сети
Lobby.ConnectionFailure,Сбой Подключения
Lobby.MasterServerFailure,MasterServer Недостаточности
Lobby.PortInUse,Сетевой порт уже используется.
Lobby.HostFull,Хост-это полная.
Lobby.ConnectionLostText,Connection Lost
Lobby.ConnectionLostExplaination,Хост отключился игры
Lobby.TimeoutError,Ошибка времени ожидания. Попробуйте еще раз.
Lobby.CanNotHost,Можете не размещать.
Lobby.NoGamesFound,Не мог найти игру, чтобы присоединиться к
Lobby.RegistrationFailedGameName,Registration Failed : Invalid GameName
Lobby.RegistrationFailedGameType,Registration Failed : Invalid GameType
Lobby.RegistrationFailedNoServer,Registration Failed : No Server
Lobby.Connected,Подключен к сети
Lobby.Disconnected,Отключен
Lobby.Offline,Автономный Режим. Не удалось подключиться.
Lobby.Unauthenticated,Не вошли. Отказано в доступе.
Lobby.UpdateSuccess,Счет обновляется. Спасибо !
Lobby.ServerFull,Сервер Полон. Попробуйте еще раз чуть-чуть.
Lobby.NetworkFull,Сети Полно. Попробуйте еще раз чуть-чуть.
Lobby.CreateGameFailed,Не удалось создать игру.
Lobby.JoinGameFailed,Не удалось присоединиться к игре.
Lobby.SecurityError,Нарушение Безопасности. Отказано в доступе.
Lobby.InvalidRegion,Неверный Регион
Lobby.InvalidAuthentication,Invalid Authentication. Отказано в доступе.
Lobby.InternalError,Внутренняя Ошибка
