LobbyViews.Confirm,Confirmar
LobbyViews.Reject,Rechazar
LobbyViews.WelcomeTitle,Bienvenido
LobbyViews.SignIn,Firmar En
LobbyViews.SignUp,Regístrate
LobbyViews.Recover,Recuperar Cuenta
LobbyViews.Busy,Cargando...
LobbyViews.Username,Nombre de usuario
LobbyViews.Email,Correo electrónico
LobbyViews.Password,Contraseña
LobbyViews.Token,Token
LobbyViews.Update,Actualización De La Cuenta
LobbyViews.Submit,Enviar
LobbyViews.Back,Volver
LobbyViews.Cancel,Cancelar
LobbyViews.GoGetToken,Una validación de token se enviará por correo electrónico a usted.
LobbyViews.SkipSignup,Omitir La Inscripción
LobbyViews.PortraitTitle,Elige Tu Retrato
LobbyViews.LoadFromWeb,La Carga De La Web
LobbyViews.Gravatar,Gravatar
LobbyViews.Options,Opciones
LobbyViews.Levels,Selección De Nivel
LobbyViews.RandomLevel,Nivel Aleatorio
LobbyViews.Search,Búsqueda
LobbyViews.Leaderboard,Tabla de clasificación
LobbyViews.Multiplayer,Jugar En Línea
LobbyViews.StartHost,Inicio De Host
LobbyViews.Disconnect,Desconectar
LobbyViews.FindGame,Buscar Juegos
LobbyViews.Self,Auto
LobbyViews.Host,Host
LobbyViews.NoGames,No Hay Juegos Encontrados. Inicio ir a uno !
LobbyViews.Offline,El Modo Sin Conexión. No hay datos disponibles.
LobbyViews.Continue,Continuar
LobbyViews.RestartLevel,RestartLevel
LobbyViews.QuitLevel,QuitLevel
LobbyViews.ConnectionLost,Se Ha Perdido La Conexión
LobbyViews.ConnectionLostInfo,La conexión con el host de juego estaba perdido.
LobbyViews.Migrating,La migración al nuevo Host...
LobbyViews.ReturnToLobby,Regresar a Lobby
