LobbyViews.Confirm,Onaylamak
LobbyViews.Reject,Reddet
LobbyViews.WelcomeTitle,Hoşgeldiniz
LobbyViews.SignIn,Yer İşareti 
LobbyViews.SignUp,Kaydolun
LobbyViews.Recover,Hesap Kurtarma 
LobbyViews.Busy,Yükleniyor...
LobbyViews.Username,Kullanıcı adı
LobbyViews.Email,E-posta
LobbyViews.Password,Şifre
LobbyViews.Token,Token
LobbyViews.Update,Güncelleme Hesabı
LobbyViews.Submit,Gönder
LobbyViews.Back,Geri
LobbyViews.Cancel,İptal
LobbyViews.GoGetToken,Bir doğrulama belirteci size gönderilen e.
LobbyViews.SkipSignup,Skip Signup
LobbyViews.PortraitTitle,Size Portre Seçin 
LobbyViews.LoadFromWeb,Web'den Yükleme 
LobbyViews.Gravatar,Gravatar
LobbyViews.Options,Seçenekleri
LobbyViews.Levels,Seviye Seçimi
LobbyViews.RandomLevel,Rastgele Seviye
LobbyViews.Search,Arama
LobbyViews.Leaderboard,Afiş
LobbyViews.Multiplayer,Play Online
LobbyViews.StartHost,Başlat Konak
LobbyViews.Disconnect,Kesin
LobbyViews.FindGame,Oyunları Bul 
LobbyViews.Self,Öz
LobbyViews.Host,Konak
LobbyViews.NoGames,No Games Found. Başlat git !
LobbyViews.Offline,Çevrimdışı Modu. Kullanılabilir veriler yok.
LobbyViews.Continue,Devam
LobbyViews.RestartLevel,RestartLevel
LobbyViews.QuitLevel,QuitLevel
LobbyViews.ConnectionLost,Bağlantı Koptu
LobbyViews.ConnectionLostInfo,Oyun için ana bilgisayar bağlantı koptu.
LobbyViews.Migrating,Yeni Host göç...
LobbyViews.ReturnToLobby,Lobi dönmek 
